master_cpd_id,r2,cpd_name
60218,0.18121094689738315,entinostat
660238,0.18107295816937835,SB-743921
632907,0.17862979565869824,ISOX
628408,0.1780280497943434,Repligen 136
62690,0.17747969001870909,cytarabine hydrochloride
616408,0.1720973462577256,BRD-K85133207
56703,0.1698884576247276,sirolimus
374749,0.1687483637920229,nilotinib
374750,0.16864799035218175,sunitinib
411792,0.16725320557838164,parthenolide
606142,0.162792638214701,obatoclax
29985,0.1567269579037353,myricetin
417981,0.15463196986194397,BMS-754807
606246,0.15296243577753624,brivanib
628620,0.1523800465208402,OSI-930
418038,0.15095317510653078,neratinib
183526,0.1507133404904118,CIL70
660136,0.15012193756450662,vorapaxar
375447,0.1476160522053829,GW-405833
660206,0.14677422673487245,I-BET151
375264,0.14661154576427576,SCH-79797
411770,0.14641374519621694,SR-II-138A
417979,0.1456022543216731,YM-155
377381,0.1454896163828108,MK-2206
660409,0.14532649680630447,AT7867
660288,0.1451505269702538,clofarabine
660994,0.1445238737298336,ibrutinib
660078,0.14327273891873665,ceranib-2
616353,0.14015860079669668,fumonisin B1
632873,0.1401379659702559,MLN2238
375492,0.13967421907206595,RITA
687418,0.1371122337851971,trametinib
668723,0.1370684018905689,GSK2636771
632104,0.1354418962503576,CAY10618
606586,0.13471573326531935,SU11274
660208,0.13433491030776326,PF-184
411815,0.13229136977614092,VER-155008
660358,0.13198814169915857,temsirolimus
362342,0.13107872014723723,navitoclax
376693,0.12961308218653406,BRD-K66532283
639531,0.1292252647305698,bleomycin A2
660774,0.1250037696439273,PIK-93
687395,0.12495001415761738,BRD-K99006945
628607,0.12400717727246664,foretinib
660414,0.12278727447416848,RAF265
50727,0.12255270910938562,manumycin A
62602,0.11974435915101458,vincristine
272805,0.11782491644840051,IU1
632119,0.11754823318900018,KU 0060648
290356,0.11670216854486008,ML311
411814,0.11540965711439237,AZD7545
609110,0.11348814300948498,ML210
609063,0.111250236935859,StemRegenin 1
52882,0.10996928251841705,dasatinib
660145,0.10901317668558111,BRD-A71883111
418164,0.10842652925893789,serdemetan
481311,0.10799705980650906,HLI 373
50715,0.10795093910827788,NSC95397
411859,0.10659950166624785,BMS-536924
348990,0.10602507435297026,axitinib
375366,0.10469249944648315,SKI-II
418209,0.10434088247828391,CR-1-31B
687406,0.10337849096612572,tivantinib
606670,0.10062958483669307,BRD-K88742110
411737,0.1000851156704351,bortezomib
411749,0.10006293613891064,tubastatin A
374747,0.09867159291356006,bexarotene
100490,0.09577228666976947,CIL56
606249,0.09427233452584487,NVP-TAE684
660319,0.09203347005689597,elocalcitol
606470,0.09165165255701105,TG-100-115
30620,0.09161953780212588,lovastatin
606035,0.09083286255232925,saracatinib
411856,0.09024830449818615,avrainvillamide
411863,0.09000676792415552,gemcitabine
