,n_drugs
TNS4 (84951),7
MSN (4478),7
LOX (4015),7
ISG15 (9636),7
GDA (9615),7
LPAR1 (1902),7
COL4A1 (1282),7
MSLN (10232),7
PRSS3 (5646),7
SLC17A9 (63910),7
JUP (3728),7
NMU (10874),7
MDFI (4188),7
PLAU (5328),7
PROM2 (150696),7
ENG (2022),7
FGFR4 (2264),7
CLMP (79827),7
MT1G (4495),7
LAMA5 (3911),7
JAM3 (83700),7
S100A14 (57402),7
TACSTD2 (4070),7
AREG (374),7
STC2 (8614),7
INA (9118),7
DEFB1 (1672),7
TRIM29 (23650),7
CEACAM6 (4680),7
COL6A3 (1293),7
ADAMTS1 (9510),7
MT1F (4494),7
EPAS1 (2034),7
EPCAM (4072),7
IL1B (3553),7
PODXL (5420),7
GNG4 (2786),7
CAMK2N1 (55450),7
HDGFL3 (50810),7
KCNK1 (3775),7
TSPAN8 (7103),7
GAGE2A (729447),7
CFB (629),7
BGN (633),6
CASP1 (834),6
HID1 (283987),6
CLIC3 (9022),6
ACTA2 (59),6
GPX7 (2882),6
CXCL5 (6374),6
COL5A2 (1290),6
ASS1 (445),6
MAGED4B (81557),6
FBN1 (2200),6
FYN (2534),6
GJA1 (2697),6
LCP1 (3936),6
CXCL1 (2919),6
TMC4 (147798),6
CLDN3 (1365),6
CSRP2 (1466),6
HOXB2 (3212),6
PAX8 (7849),6
MX1 (4599),6
PTX3 (5806),6
MPZL2 (10205),6
NCAM1 (4684),6
SEMA3B (7869),6
ITGB4 (3691),6
CEACAM5 (1048),6
CRB3 (92359),6
MAL2 (114569),6
ADIRF (10974),6
RBM47 (54502),6
KYNU (8942),6
ARHGDIB (397),6
C1R (715),6
VCAN (1462),6
BEX3 (27018),6
LCP2 (3937),6
MME (4311),6
LIPG (9388),6
COL8A1 (1295),6
FOXA1 (3169),6
OLR1 (4973),6
MEF2C (4208),6
BCL2A1 (597),6
GPX2 (2877),6
BST2 (684),6
LAYN (143903),6
VGLL1 (51442),6
IGF2BP1 (10642),6
MFAP2 (4237),6
ITGA4 (3676),6
SYK (6850),6
GSTM1 (2944),6
MCAM (4162),6
CKB (1152),6
COL4A2 (1284),6
IFI6 (2537),6
CSAG1 (158511),6
MAGEA3 (4102),6
MST1R (4486),6
CRABP2 (1382),6
HOOK1 (51361),6
IGFBP2 (3485),6
ROBO1 (6091),6
RGS4 (5999),6
VWA1 (64856),5
DZIP1 (22873),5
SLC6A15 (55117),5
SDC2 (6383),5
PBX1 (5087),5
TUBA4A (7277),5
ELF3 (1999),5
SNRPN (6638),5
BMERB1 (89927),5
GAGE12F (100008586),5
FBLN1 (2192),5
BEX2 (84707),5
ZNF595 (152687),5
TFF3 (7033),5
GJB3 (2707),5
MLLT11 (10962),5
EIF1AY (9086),5
LBH (81606),5
CYBRD1 (79901),5
NPNT (255743),5
HOXA9 (3205),5
MYEF2 (50804),5
SRPX (8406),5
PTPRCAP (5790),5
PCSK9 (255738),5
GNG2 (54331),5
ANXA8L1 (728113),5
TGFB1I1 (7041),5
PDLIM1 (9124),5
COL5A1 (1289),5
ANXA8 (653145),5
TP53I11 (9537),5
WIPF1 (7456),5
S100A9 (6280),5
C6orf141 (135398),5
RAB31 (11031),5
COL3A1 (1281),5
SV2A (9900),5
EDIL3 (10085),5
MAGEA2B (266740),5
CDKN2B (1030),5
RHOD (29984),5
KRT19 (3880),5
GLDC (2731),5
DUSP23 (54935),5
SERPINB5 (5268),5
SAA2 (6289),5
PI3 (5266),5
LCN2 (3934),5
COL1A2 (1278),5
CA2 (760),5
IFITM1 (8519),5
NID1 (4811),5
ESRP1 (54845),5
MFAP4 (4239),5
IGLL5 (100423062),5
CLEC2B (9976),5
MAGEA6 (4105),5
BEX4 (56271),5
ANTXR1 (84168),5
TWIST1 (7291),5
JCHAIN (3512),5
WFDC2 (10406),5
HLA-C (3107),5
FXYD5 (53827),5
OAS1 (4938),5
SERPINA3 (12),5
MMP2 (4313),4
LOXL1 (4016),4
AQP3 (360),4
CTAG2 (30848),4
TSPYL5 (85453),4
TC2N (123036),4
MAP1B (4131),4
GPRC5C (55890),4
SFN (2810),4
ITGB2 (3689),4
P3H3 (10536),4
SPINT1 (6692),4
NRN1 (51299),4
TENM3 (55714),4
RCN3 (57333),4
S100A8 (6279),4
CDH1 (999),4
GAL (51083),4
MAGEA2 (4101),4
FOXQ1 (94234),4
PKIB (5570),4
BTK (695),4
LPXN (9404),4
S100P (6286),4
MAGEA12 (4111),4
MX2 (4600),4
TMEM265 (100862671),4
ARMCX2 (9823),4
KRT13 (3860),4
XAGE1B (653067),4
EFEMP2 (30008),4
CFI (3426),4
C1orf116 (79098),4
LY96 (23643),3
ADGRL2 (23266),3
TMEM125 (128218),3
PAGE5 (90737),3
ADGRF1 (266977),3
KLK8 (11202),3
FST (10468),3
HLA-DPB1 (3115),3
HLA-B (3106),3
SLPI (6590),3
PRRX1 (5396),3
CLDN7 (1366),3
MGP (4256),3
TUBA1A (7846),3
CRMP1 (1400),3
HLA-DPA1 (3113),3
ID4 (3400),3
LUM (4060),3
COL11A1 (1301),3
BEX1 (55859),3
CCL2 (6347),3
LY6D (8581),3
DNER (92737),3
POSTN (10631),3
PRSS22 (64063),3
FAM83H (286077),3
CSAG3 (389903),3
PRSS21 (10942),3
OLFM1 (10439),3
PHGR1 (644844),3
TUBB2B (347733),3
TINAGL1 (64129),3
ICAM1 (3383),2
HLA-DRA (3122),2
CDH13 (1012),2
PTN (5764),2
SNAP25 (6616),2
TNFRSF6B (8771),2
THY1 (7070),2
DCN (1634),2
AKT3 (10000),2
RAB25 (57111),2
IL7R (3575),2
CD74 (972),2
B4GALNT4 (338707),2
PCSK1N (27344),2
XAF1 (54739),2
MISP (126353),1
HLA-DRB1 (3123),1
COL6A2 (1292),1
